image_id,gel_id,lane_index,lane_type,alias,x_start_norm,x_end_norm,x_center_norm,lane_width_norm,band_count_est,band_y_positions_norm,confidence_0to1,notes
20240517_174014.jpg,20240517_174014,1,marker,M1,0.0,0.042,0.021,0.042,4,"0.5,0.151833,0.1515,0.5",0.7,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,2,sample,L2,0.042,0.092,0.067,0.05,10,"0.5,0.0925,0.15,0.252333,0.339333,0.477833,0.577333,0.684167,0.774,0.5",1.0,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,3,sample,L3,0.092,0.24575,0.168875,0.15375,12,"0.5,0.5,0.5,0.5,0.5,0.418333,0.5,0.5,0.5,0.5,0.5,0.5",1.0,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,4,sample,L4,0.24575,0.55,0.397875,0.30425,5,"0.5,0.5,0.500167,0.807,0.5",0.75,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,5,sample,L5,0.55,0.73375,0.641875,0.18375,4,"0.5,0.451833,0.875,0.5",0.7,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,6,sample,L6,0.73375,0.776,0.754875,0.04225,9,"0.500167,0.500167,0.500167,0.500167,0.500167,0.453833,0.854,0.853833,0.500167",0.95,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,7,sample,L7,0.776,0.90925,0.842625,0.13325,11,"0.500167,0.090333,0.155,0.2585,0.346667,0.488,0.587,0.6935,0.778333,0.880667,0.5",1.0,auto bands; lanes=8
20240517_174014.jpg,20240517_174014,8,marker,M2,0.90925,1.0,0.954625,0.09075,2,"0.5,0.5",0.6,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,1,marker,M1,0.0,0.350773,0.175387,0.350773,5,"0.500291,0.500582,0.508435,0.500291,0.514543",0.75,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,2,sample,L2,0.350773,0.387625,0.369199,0.036852,8,"0.500582,0.500291,0.500291,0.524142,0.517452,0.525015,0.520361,0.525305",0.9,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,3,sample,L3,0.387625,0.423112,0.405369,0.035487,7,"0.500582,0.521233,0.517161,0.527923,0.522397,0.528214,0.500582",0.85,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,4,sample,L4,0.423112,0.459054,0.441083,0.035942,5,"0.500582,0.500291,0.52676,0.515707,0.525305",0.75,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,5,sample,L5,0.459054,0.514104,0.486579,0.05505,6,"0.500582,0.500291,0.500291,0.527051,0.515416,0.531123",0.8,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,6,sample,L6,0.514104,0.725205,0.619654,0.211101,5,"0.500291,0.500291,0.527341,0.512507,0.527341",0.75,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,7,sample,L7,0.725205,0.906278,0.815742,0.181074,6,"0.500582,0.500291,0.507563,0.509308,0.510471,0.500291",0.8,auto bands; lanes=8
20241011_174239.jpg,20241011_174239,8,marker,M2,0.906278,1.0,0.953139,0.093722,9,"0.500291,0.500291,0.500291,0.500291,0.500291,0.500291,0.500291,0.500291,0.500582",0.95,auto bands; lanes=8
20250117_115640.jpg,20250117_115640,1,marker,M1,0.0,0.045212,0.022606,0.045212,2,"0.499617,0.499617",0.6,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,2,sample,L2,0.045212,0.13595,0.090581,0.090738,11,"0.500191,0.500191,0.500191,0.609154,0.417848,0.500383,0.500191,0.500191,0.500191,0.568939,0.500191",1.0,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,3,sample,L3,0.13595,0.227002,0.181476,0.091052,2,"0.500191,0.500191",0.6,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,4,sample,L4,0.227002,0.317739,0.27237,0.090738,2,"0.500191,0.500191",0.6,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,5,sample,L5,0.317739,0.408791,0.363265,0.091052,1,0.500191,0.55,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,6,sample,L6,0.408791,0.499529,0.45416,0.090738,3,"0.500191,0.500191,0.5",0.65,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,7,sample,L7,0.499529,0.590581,0.545055,0.091052,1,0.500191,0.55,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,8,sample,L8,0.590581,0.681319,0.63595,0.090738,2,"0.500383,0.500383",0.6,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,9,sample,L9,0.681319,0.77237,0.726845,0.091052,2,"0.500191,0.500383",0.6,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,10,sample,L10,0.77237,0.863108,0.817739,0.090738,3,"0.5,0.5,0.5",0.65,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,11,sample,L11,0.863108,0.95416,0.908634,0.091052,1,0.5,0.55,auto bands; lanes=12
20250117_115640.jpg,20250117_115640,12,marker,M2,0.95416,1.0,0.97708,0.04584,2,"0.500383,0.500191",0.6,auto bands; lanes=12
20250117_125801.jpg,20250117_125801,1,marker,M1,0.0,0.09962,0.04981,0.09962,11,"0.5,0.281722,0.278349,0.336332,0.412785,0.531963,0.635882,0.748153,0.819627,0.898972,0.943463",1.0,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,2,sample,L2,0.09962,0.16616,0.13289,0.06654,13,"0.500161,0.210408,0.253774,0.34115,0.417604,0.539994,0.648249,0.500161,0.500161,0.500161,0.852233,0.941375,0.928686",1.0,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,3,sample,L3,0.16616,0.23308,0.19962,0.06692,4,"0.500161,0.741728,0.910055,0.944908",0.7,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,4,sample,L4,0.23308,0.29962,0.26635,0.06654,2,"0.5,0.961291",0.6,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,5,sample,L5,0.29962,0.36616,0.33289,0.06654,2,"0.5,0.499839",0.6,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,6,sample,L6,0.36616,0.4327,0.39943,0.06654,3,"0.499839,0.499679,0.499839",0.65,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,7,sample,L7,0.4327,0.49962,0.46616,0.06692,5,"0.5,0.5,0.5,0.945069,0.5",0.75,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,8,marker,M2,0.49962,0.56616,0.53289,0.06654,11,"0.5,0.217314,0.261645,0.353518,0.433665,0.559107,0.659492,0.762287,0.835528,0.912946,0.956152",1.0,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,9,sample,L9,0.56616,0.6327,0.59943,0.06654,10,"0.499839,0.499839,0.499839,0.499839,0.69804,0.697237,0.499839,0.499839,0.499839,0.692258",1.0,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,10,sample,L10,0.6327,0.69924,0.66597,0.06654,2,"0.499679,0.696274",0.6,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,11,sample,L11,0.69924,0.76616,0.7327,0.06692,3,"0.499679,0.707035,0.69804",0.65,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,12,sample,L12,0.76616,0.8327,0.79943,0.06654,3,"0.5,0.55991,0.691937",0.65,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,13,sample,L13,0.8327,0.89924,0.86597,0.06654,2,"0.5,0.5",0.6,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,14,sample,L14,0.89924,0.96616,0.9327,0.06692,2,"0.5,0.5",0.6,auto bands; lanes=15
20250117_125801.jpg,20250117_125801,15,sample,L15,0.96616,1.0,0.98308,0.03384,1,0.499679,0.55,auto bands; lanes=15
20250122_133449.jpg,20250122_133449,1,marker,M1,0.0,0.050022,0.025011,0.050022,11,"0.500534,0.500534,0.500534,0.562166,0.588047,0.573639,0.555763,0.595518,0.607524,0.938367,0.9381",1.0,auto bands; lanes=6
20250122_133449.jpg,20250122_133449,2,sample,L2,0.050022,0.121545,0.085783,0.071523,12,"0.500267,0.540822,0.577108,0.514941,0.538954,0.609925,0.56857,0.541889,0.500267,0.605656,0.857524,0.540021",1.0,auto bands; lanes=6
20250122_133449.jpg,20250122_133449,3,sample,L3,0.121545,0.201843,0.161694,0.080298,3,"0.500267,0.541622,0.565101",0.65,auto bands; lanes=6
20250122_133449.jpg,20250122_133449,4,sample,L4,0.201843,0.480035,0.340939,0.278192,2,"0.500534,0.53682",0.6,auto bands; lanes=6
20250122_133449.jpg,20250122_133449,5,sample,L5,0.480035,0.754278,0.617157,0.274243,8,"0.500534,0.500534,0.500267,0.500534,0.500534,0.500534,0.500534,0.500534",0.9,auto bands; lanes=6
20250122_133449.jpg,20250122_133449,6,marker,M2,0.754278,1.0,0.877139,0.245722,11,"0.500534,0.500267,0.500534,0.500534,0.500534,0.500534,0.500534,0.500534,0.500534,0.500267,0.500267",1.0,auto bands; lanes=6
