image_id,gel_id,lane_index,lane_type,alias,x_start_norm,x_end_norm,band_count_est,band_y_positions_norm,confidence_0to1,notes
20240517_174014.jpg,20240517_174014,1,marker,M1,0.0,0.034,8,,0.8,auto-preclass seed
20240517_174014.jpg,20240517_174014,2,sample,S1,0.034,0.084,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,3,sample,S2,0.084,0.24575,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,4,sample,S3,0.24575,0.54925,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,5,sample,S4,0.54925,0.72825,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,6,sample,S5,0.72825,0.7655,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,7,sample,S6,0.7655,0.8025,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,8,sample,S7,0.8025,0.90925,3,,0.6,auto-preclass seed
20240517_174014.jpg,20240517_174014,9,marker,M2,0.90925,1.0,8,,0.8,auto-preclass seed
20241011_174239.jpg,20241011_174239,1,marker,M1,0.0,0.202912,8,,0.8,auto-preclass seed
20241011_174239.jpg,20241011_174239,2,sample,S1,0.202912,0.276615,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,3,sample,S2,0.276615,0.339399,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,4,sample,S3,0.339399,0.386715,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,5,sample,S4,0.386715,0.441765,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,6,sample,S5,0.441765,0.5,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,7,sample,S6,0.5,0.571429,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,8,sample,S7,0.571429,0.760692,3,,0.6,auto-preclass seed
20241011_174239.jpg,20241011_174239,9,marker,M2,0.760692,1.0,8,,0.8,auto-preclass seed
20250117_115640.jpg,20250117_115640,1,marker,M1,0.0,0.09011,8,,0.8,auto-preclass seed
20250117_115640.jpg,20250117_115640,2,sample,S1,0.09011,0.31146,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,3,sample,S2,0.31146,0.533752,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,4,sample,S3,0.533752,0.572057,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,5,sample,S4,0.572057,0.610675,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,6,sample,S5,0.610675,0.649294,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,7,sample,S6,0.649294,0.68697,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,8,sample,S7,0.68697,0.723705,3,,0.6,auto-preclass seed
20250117_115640.jpg,20250117_115640,9,marker,M2,0.723705,1.0,8,,0.8,auto-preclass seed
20250117_125801.jpg,20250117_125801,1,marker,M1,0.0,0.080989,8,,0.8,auto-preclass seed
20250117_125801.jpg,20250117_125801,2,sample,S1,0.080989,0.154753,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,3,sample,S2,0.154753,0.357034,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,4,sample,S3,0.357034,0.527376,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,5,sample,S4,0.527376,0.58327,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,6,sample,S5,0.58327,0.653232,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,7,sample,S6,0.653232,0.719011,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,8,sample,S7,0.719011,0.771483,3,,0.6,auto-preclass seed
20250117_125801.jpg,20250117_125801,9,marker,M2,0.771483,1.0,8,,0.8,auto-preclass seed
20250122_133449.jpg,20250122_133449,1,marker,M1,0.0,0.037297,8,,0.8,auto-preclass seed
20250122_133449.jpg,20250122_133449,2,sample,S1,0.037297,0.088635,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,3,sample,S2,0.088635,0.154454,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,4,sample,S3,0.154454,0.205792,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,5,sample,S4,0.205792,0.257569,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,6,sample,S5,0.257569,0.479158,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,7,sample,S6,0.479158,0.68846,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,8,sample,S7,0.68846,0.737165,3,,0.6,auto-preclass seed
20250122_133449.jpg,20250122_133449,9,marker,M2,0.737165,1.0,8,,0.8,auto-preclass seed
20250122_134025.jpg,20250122_134025,1,marker,M1,0.0,0.021953,8,,0.8,auto-preclass seed
20250122_134025.jpg,20250122_134025,2,sample,S1,0.021953,0.058925,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,3,sample,S2,0.058925,0.099942,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,4,sample,S3,0.099942,0.140959,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,5,sample,S4,0.140959,0.17851,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,6,sample,S5,0.17851,0.215482,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,7,sample,S6,0.215482,0.259388,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,8,sample,S7,0.259388,0.317158,3,,0.6,auto-preclass seed
20250122_134025.jpg,20250122_134025,9,marker,M2,0.317158,1.0,8,,0.8,auto-preclass seed
20250122_135747.jpg,20250122_135747,1,marker,M1,0.0,0.023309,8,,0.8,auto-preclass seed
20250122_135747.jpg,20250122_135747,2,sample,S1,0.023309,0.060374,3,,0.6,auto-preclass seed
20250122_135747.jpg,20250122_135747,3,sample,S2,0.060374,0.098586,3,,0.6,auto-preclass seed
20250122_135747.jpg,20250122_135747,4,sample,S3,0.098586,0.136798,3,,0.6,auto-preclass seed
20250122_135747.jpg,20250122_135747,5,sample,S4,0.136798,0.17501,3,,0.6,auto-preclass seed
20250122_135747.jpg,20250122_135747,6,sample,S5,0.17501,0.214368,3,,0.6,auto-preclass seed
